model,config,workload,input_mean,output_mean,total_latency_ms,avg_request_latency_ms,request_throughput_req_s,system_output_throughput_tok_s,token_output_speed_tok_s,avg_ttft_ms,avg_tpot_ms,ttft_ms_p50,ttft_ms_p90,ttft_ms_p95,ttft_ms_p99,tpot_ms_p50,tpot_ms_p90,tpot_ms_p95,tpot_ms_p99,gpu_util_peak_pct,gpu_memory_used_peak_mb,gpu_power_peak_w
Qwen2.5-3B,W8A16,short_in_long_out,256,2564,159402.0,15940.15,0.0627,172.41,172.65,28.12,5.792,26.84,31.76,31.76,31.76,5.793,5.811,5.811,5.811,99.0,22172.0,376.7
Qwen2.5-3B,W8A16,long_in_long_out,2564,2564,166251.67,16625.12,0.0601,165.3,167.66,239.0,5.964,230.58,262.48,262.48,262.48,5.967,5.99,5.99,5.99,100.0,22172.0,372.78
Qwen2.5-3B,W8A16_INT8KV,short_in_short_out,256,256,16141.49,1614.13,0.6195,173.22,175.76,28.96,5.69,30.95,36.55,36.55,36.55,5.687,5.73,5.73,5.73,99.0,22172.0,374.39
Qwen2.5-3B,W8A16_INT8KV,long_in_short_out,2564,256,19672.42,1967.22,0.5083,142.13,161.1,237.18,6.209,230.98,260.12,260.12,260.12,6.266,6.305,6.305,6.305,100.0,22172.0,382.59
Qwen2.5-3B,W8A16_INT8KV,short_in_long_out,256,2564,161616.54,16161.6,0.0619,170.04,170.29,28.05,5.872,26.71,31.46,31.46,31.46,5.876,5.89,5.89,5.89,99.0,22172.0,383.8
Qwen2.5-3B,W8A16_INT8KV,long_in_long_out,2564,2564,183017.11,18301.67,0.0546,150.16,152.1,238.26,6.575,231.09,262.2,262.2,262.2,6.586,6.611,6.611,6.611,100.0,22172.0,383.93
Qwen2.5-3B,W8A8_SQ,short_in_short_out,256,256,16822.29,1682.21,0.5944,166.21,167.09,14.64,5.985,14.71,16.18,16.18,16.18,5.983,6.073,6.073,6.073,99.0,22164.0,350.47
Qwen2.5-3B,W8A8_SQ,long_in_short_out,2564,256,18468.6,1846.84,0.5415,151.39,160.66,112.6,6.225,108.06,125.34,125.34,125.34,6.218,6.296,6.296,6.296,99.0,22164.0,349.16
Qwen2.5-3B,W8A8_SQ,short_in_long_out,256,2564,168596.38,16859.59,0.0593,163.0,163.09,14.66,6.132,14.96,16.19,16.19,16.19,6.131,6.154,6.154,6.154,99.0,22164.0,353.79
Qwen2.5-3B,W8A8_SQ,long_in_long_out,2564,2564,174712.11,17471.17,0.0572,157.3,158.29,114.94,6.318,120.75,126.65,126.65,126.65,6.321,6.352,6.352,6.352,99.0,22164.0,347.48
Qwen2.5-3B,W8A8_SQ_INT8KV,short_in_short_out,256,256,16972.79,1697.26,0.5892,164.73,165.71,16.04,6.035,15.57,29.98,29.98,29.98,6.032,6.06,6.06,6.06,99.0,22164.0,346.22
Qwen2.5-3B,W8A8_SQ_INT8KV,long_in_short_out,2564,256,19411.16,1941.09,0.5152,144.04,152.51,113.74,6.558,117.77,126.66,126.66,126.66,6.611,6.675,6.675,6.675,99.0,22164.0,360.18
Qwen2.5-3B,W8A8_SQ_INT8KV,short_in_long_out,256,2564,170677.77,17067.73,0.0586,161.02,161.11,15.07,6.207,15.53,19.8,19.8,19.8,6.209,6.242,6.242,6.242,99.0,22164.0,360.12
Qwen2.5-3B,W8A8_SQ_INT8KV,long_in_long_out,2564,2564,191335.55,19133.51,0.0523,143.63,144.44,111.86,6.923,107.4,124.53,124.53,124.53,6.935,6.984,6.984,6.984,99.0,22164.0,364.31
Qwen2.5-3B,W4A16,short_in_short_out,256,256,11628.97,1162.88,0.8599,240.43,245.2,26.6,4.078,25.38,29.73,29.73,29.73,4.085,4.099,4.099,4.099,99.0,22040.0,358.18
Qwen2.5-3B,W4A16,long_in_short_out,2564,256,14374.67,1437.45,0.6957,194.51,231.63,234.69,4.317,231.13,254.03,254.03,254.03,4.321,4.328,4.328,4.328,100.0,22040.0,360.11
Qwen2.5-3B,W4A16,short_in_long_out,256,2564,116602.54,11660.22,0.0858,235.69,236.15,26.74,4.235,26.61,29.61,29.61,29.61,4.235,4.238,4.238,4.238,99.0,22040.0,359.45
Qwen2.5-3B,W4A16,long_in_long_out,2564,2564,123721.83,12372.15,0.0808,222.13,226.36,234.96,4.418,231.79,253.96,253.96,253.96,4.417,4.437,4.437,4.437,100.0,22040.0,360.16
Qwen2.5-3B,W4A16_INT8KV,short_in_short_out,256,256,11781.91,1178.17,0.8488,237.31,241.79,25.92,4.136,25.75,28.11,28.11,28.11,4.138,4.143,4.143,4.143,99.0,22040.0,351.24
Qwen2.5-3B,W4A16_INT8KV,long_in_short_out,2564,256,15272.72,1527.25,0.6548,183.07,215.57,234.04,4.641,230.88,252.55,252.55,252.55,4.685,4.73,4.73,4.73,100.0,22040.0,373.54
Qwen2.5-3B,W4A16_INT8KV,short_in_long_out,256,2564,118863.08,11886.27,0.0841,231.21,231.66,26.09,4.317,25.77,28.22,28.22,28.22,4.323,4.33,4.33,4.33,99.0,22040.0,369.79
Qwen2.5-3B,W4A16_INT8KV,long_in_long_out,2564,2564,140109.19,14010.88,0.0714,196.15,199.46,235.78,5.014,233.16,253.99,253.99,253.99,5.017,5.062,5.062,5.062,100.0,22040.0,370.28
Qwen2.5-3B,W4A16_AWQ,short_in_short_out,256,256,12213.83,1221.36,0.8187,228.92,233.4,27.78,4.285,29.03,29.88,29.88,29.88,4.299,4.355,4.355,4.355,99.0,22048.0,358.49
Qwen2.5-3B,W4A16_AWQ,long_in_short_out,2564,256,15116.07,1511.59,0.6615,184.97,219.91,244.09,4.549,240.55,268.44,268.44,268.44,4.553,4.782,4.782,4.782,100.0,22048.0,360.22
Qwen2.5-3B,W4A16_AWQ,short_in_long_out,256,2564,121354.61,12135.42,0.0824,226.46,226.9,27.76,4.407,28.94,29.99,29.99,29.99,4.398,4.482,4.482,4.482,99.0,22048.0,364.2
Qwen2.5-3B,W4A16_AWQ,long_in_long_out,2564,2564,128455.73,12845.52,0.0778,213.94,218.03,244.31,4.587,240.63,268.5,268.5,268.5,4.585,4.644,4.644,4.644,100.0,22048.0,360.0
Qwen2.5-3B,W4A16_AWQ_FP8KV,short_in_short_out,256,256,14566.69,1456.64,0.6865,191.94,195.21,29.66,5.125,30.82,31.85,31.85,31.85,5.083,5.382,5.382,5.382,99.0,22085.0,323.03
Qwen2.5-3B,W4A16_AWQ_FP8KV,long_in_short_out,2564,256,21669.54,2166.93,0.4615,129.03,145.3,249.26,6.883,246.83,268.55,268.55,268.55,6.877,6.968,6.968,6.968,100.0,22084.0,336.09
Qwen2.5-3B,W4A16_AWQ_FP8KV,short_in_long_out,256,2564,163123.91,16312.34,0.0613,168.47,168.73,29.62,5.927,29.96,32.19,32.19,32.19,5.917,6.004,6.004,6.004,99.0,22083.0,341.96
